NOM_COM_RBD,COD_DEPE2,COD_ENSE2,NOM_PLAN_EST,NOM_SUBSECTOR,TIPO_SUBSECTOR,TOTAL_DOCENTES
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),FILOSOFÍA,2,1
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),GESTIÓN COMERCIAL Y TRIBUTARIA,2,1
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),IDIOMA EXTRANJERO: INGLÉS,2,2
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),INSTALACIONES ELÉCTRICAS INDUSTRIALES,2,1
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),INSTALACIÓN DE EQUIPOS ELECTRÓNICOS DE POTENCIA,2,1
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),INSTALACIÓN DE MOTORES ELÉCTRICOS Y  EQUIPOS DE CALEFACCIÓN,2,1
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),INSTALACIÓN DE SISTEMAS DE CONTROL ELÉCTRICO INDUSTRIAL,2,1
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),INSTALACIÓN ELÉCTRICAS DOMICILIARIAS,2,1
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),LECTURA Y DIBUJO DE PLANOS EN CONSTRUCCIONES METÁLICAS,2,1
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),LEGISLACIÓN LABORAL,2,1
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),LENGUA Y LITERATURA,2,2
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),MANTENIMIENTO DE EQUIPOS Y HERRAMIENTAS EN CONSTRUCCIONES METÁLICAS,2,1
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),"MANTENIMIENTO DE MÁQUINAS, EQUIPOS  Y SISTEMAS ELÉCTRICOS",2,1
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),MATEMÁTICA,2,2
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),MECANIZADO DE PARTES Y PIEZAS METÁLICAS,2,1
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),ORGANIZACIÓN DE OFICINAS,2,1
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),PROCESOS ADMINISTRATIVOS,2,1
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),PROTECCIÓN DE ESTRUCTURAS Y TRATAMIENTOS DE RESIDUOS,2,1
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),TRAZADO DE PARTES Y PIEZAS EN CONSTRUCCIONES METÁLICAS,2,1
ALGARROBO,1,7,3° Y 4° MEDIO HC Y TP (2019),UTILIZACIÓN DE INFORMACIÓN CONTABLE,2,1
ALGARROBO,2,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),ARTES VISUALES,2,10
ALGARROBO,2,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),CIENCIAS NATURALES,2,12
ALGARROBO,2,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),EDUCACIÓN FÍSICA Y SALUD,2,5
ALGARROBO,2,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",2,13
ALGARROBO,2,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),IDIOMA (INGLÉS),2,1
ALGARROBO,2,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),IDIOMA EXTRANJERO: INGLÉS,2,4
ALGARROBO,2,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),LENGUAJE Y COMUNICACIÓN,2,16
ALGARROBO,2,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),MATEMÁTICA,2,17
ALGARROBO,2,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),MÚSICA,2,7
ALGARROBO,2,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),ORIENTACIÓN,2,23
ALGARROBO,2,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),RELIGIÓN,2,3
ALGARROBO,2,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),TECNOLOGÍA,2,14
ALGARROBO,2,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),ARTES VISUALES,2,4
ALGARROBO,2,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),CIENCIAS NATURALES,2,5
ALGARROBO,2,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),EDUCACIÓN FÍSICA Y SALUD,2,5
ALGARROBO,2,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",2,4
ALGARROBO,2,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),IDIOMA EXTRANJERO: INGLÉS,2,5
ALGARROBO,2,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),LENGUA Y LITERATURA,2,5
ALGARROBO,2,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),MATEMÁTICA,2,5
ALGARROBO,2,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),MÚSICA,2,4
ALGARROBO,2,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),ORIENTACIÓN,2,7
ALGARROBO,2,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),RELIGIÓN,2,3
ALGARROBO,2,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),TECNOLOGÍA,2,4
ALGARROBO,2,5,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),ARTES VISUALES,2,2
ALGARROBO,2,5,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),CIENCIAS NATURALES,2,2
ALGARROBO,2,5,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),EDUCACIÓN FÍSICA Y SALUD,2,2
ALGARROBO,2,5,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",2,2
ALGARROBO,2,5,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),IDIOMA EXTRANJERO: INGLÉS,2,2
ALGARROBO,2,5,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),LENGUA Y LITERATURA,2,2
ALGARROBO,2,5,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),MATEMÁTICA,2,2
ALGARROBO,2,5,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),MÚSICA,2,2
ALGARROBO,2,5,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),ORIENTACIÓN,2,4
ALGARROBO,2,5,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),RELIGIÓN,2,1
ALGARROBO,2,5,1º Y 2° MEDIO HC Y TP (MODIFICADO POR DECRETO 1264-2016),TECNOLOGÍA,2,2
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),ARTES,2,2
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),ARTES VISUALES,2,1
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),"ARTES VISUALES, AUDIOVISUALES Y MULTIMEDIALES",2,1
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),BIOLOGÍA CELULAR Y MOLECULAR,3,1
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),BIOLOGÍA DE LOS ECOSISTEMAS,3,1
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),CIENCIAS DE LA SALUD,2,1
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),CIENCIAS DEL EJERCICIO FÍSICO Y DEPORTIVO,3,1
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),CIENCIAS PARA LA CIUDADANÍA,2,2
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),COMPRENSIÓN HISTÓRICA DEL PRESENTE,3,1
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),ECONOMÍA Y SOCIEDAD,3,1
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),EDUCACIÓN CIUDADANA,2,2
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),EDUCACIÓN FÍSICA Y SALUD,2,2
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),FILOSOFÍA,2,2
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),FÍSICA,3,1
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),"GEOGRAFÍA, TERRITORIO Y DESAFÍOS SOCIOAMBIENTALES",2,1
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",2,2
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),IDIOMA EXTRANJERO: INGLÉS,2,3
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),LECTURA Y ESCRITURA ESPECIALIZADAS,2,1
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),LECTURA Y ESCRITURA ESPECIALIZADAS,3,1
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),LENGUA Y LITERATURA,2,2
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),"LÍMITES, DERIVADAS E INTEGRALES",3,1
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),MATEMÁTICA,2,2
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),MÚSICA,2,2
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),ORIENTACIÓN,2,2
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),PROBABILIDADES Y ESTADÍSTICA DESCRIPTIVA E INFERENCIAL,2,1
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),PROBABILIDADES Y ESTADÍSTICA DESCRIPTIVA E INFERENCIAL,3,1
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),PROMOCIÓN DE ESTILOS DE VIDA ACTIVOS Y SALUDABLES,2,1
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),PROMOCIÓN DE ESTILOS DE VIDA ACTIVOS Y SALUDABLES,3,1
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),QUÍMICA,3,1
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),RELIGIÓN,2,1
ALGARROBO,2,5,3° Y 4° MEDIO HC Y TP (2019),TALLER DE LITERATURA,3,1
ALHUÉ,1,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),ARTES VISUALES,2,27
ALHUÉ,1,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),CIENCIAS NATURALES,2,27
ALHUÉ,1,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),EDUCACIÓN FÍSICA Y SALUD,2,6
ALHUÉ,1,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),"HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES",2,28
ALHUÉ,1,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),IDIOMA EXTRANJERO: INGLÉS,2,6
ALHUÉ,1,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),LENGUAJE Y COMUNICACIÓN,2,29
ALHUÉ,1,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),MATEMÁTICA,2,29
ALHUÉ,1,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),MÚSICA,2,19
ALHUÉ,1,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),ORIENTACIÓN,2,35
ALHUÉ,1,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),RELIGIÓN,2,5
ALHUÉ,1,2,1° A 6° BÁSICO (NUEVAS BASES CURRICULARES),TECNOLOGÍA,2,27
ALHUÉ,1,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),ARTES VISUALES,2,4
ALHUÉ,1,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),CIENCIAS NATURALES,2,4
ALHUÉ,1,2,7° A 8° BÁSICO (MODIFICADO POR DECRETO 628 07/11/2016),EDUCACIÓN FÍSICA Y SALUD,2,5
